City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,rancho veloz,22.88,-80.39,82.4,48,40,6.93,CU,1606686857
343,geraldton,-28.77,114.6,64.4,68,97,16.11,AU,1606686857
344,adrar,20.5,-10.07,70.32,26,100,6.31,MR,1606686857
345,high level,58.52,-117.14,15.8,100,20,5.01,CA,1606686696
346,ban nahin,18.24,104.21,60.03,71,46,5.64,LA,1606686858
347,talara,-4.58,-81.27,69.6,79,93,14.65,PE,1606686858
348,port lincoln,-34.73,135.87,63.39,72,0,16.13,AU,1606686735
349,dhidhdhoo,6.88,73.1,82.22,77,19,10.13,MV,1606686858
350,fairbanks,64.84,-147.72,10.0,77,40,1.77,US,1606686858
351,whitehorse,60.72,-135.05,26.6,79,20,21.92,CA,1606686858
352,puri,19.8,85.85,66.2,77,4,6.85,IN,1606686858
353,saurimo,-9.66,20.39,64.65,97,41,3.71,AO,1606686858
354,susuman,62.78,148.17,-14.15,84,24,0.74,RU,1606686858
355,sinjar,36.32,41.88,50.5,74,0,3.74,IQ,1606686859
356,tadpatri,14.92,78.02,69.78,93,10,5.23,IN,1606686859
357,richards bay,-28.78,32.04,65.88,78,7,4.21,ZA,1606686859
358,genhe,50.78,121.52,-3.19,90,96,3.4,CN,1606686859
359,limoux,42.92,2.17,45.0,93,0,2.24,FR,1606686859
360,saint-joseph,-21.37,55.62,73.4,73,0,6.93,RE,1606686859
361,ekibastuz,51.67,75.37,4.95,94,100,12.21,KZ,1606686859
362,north auburn,38.93,-121.08,61.0,37,1,2.57,US,1606686859
363,hokitika,-42.72,170.97,54.75,80,100,8.23,NZ,1606686860
364,haifa,32.82,34.99,59.0,82,0,4.7,IL,1606686860
365,kerouane,9.27,-9.02,80.08,47,64,2.51,GN,1606686860
366,rawson,-43.3,-65.1,59.0,38,0,12.44,AR,1606686860
367,casa grande,32.88,-111.76,72.0,15,1,10.29,US,1606686860
368,lazaro cardenas,17.96,-102.2,81.72,71,1,7.02,MX,1606686860
369,saint-francois,46.42,3.91,35.6,97,90,3.36,FR,1606686860
